2026-05-18 09:19:44,959 | INFO     | ⚔️ ClanWarNotifications завантажено
2026-05-18 09:19:47,795 | INFO     | HTTP Request: GET https://jqphrrikzkntcyzsrbrc.supabase.co/rest/v1/active_duels?select=%2A "HTTP/2 200 OK"
2026-05-18 09:19:48,031 | INFO     | HTTP Request: GET https://jqphrrikzkntcyzsrbrc.supabase.co/rest/v1/duel_stats?select=%2A "HTTP/2 200 OK"
2026-05-18 09:19:48,041 | INFO     | ✅ Дані з Supabase завантажено
2026-05-18 09:19:50,792 | SUCCESS  | 🎉 Усі файли cogs успішно завантажені!
2026-05-18 09:19:54,473 | INFO     | ⏳ Бот готовий, цикли запущено
2026-05-18 09:19:54,481 | INFO     | ⏳ Бот готовий, цикли запущено
2026-05-18 09:19:54,482 | SUCCESS  | 🤖 Бот `Void Sentinel UA#9123` успішно запущений (ID: 1442600551593541773)
2026-05-18 09:19:54,483 | INFO     | 🛡 Сервер: Тест сервер | ID: 1448692483054632982 | Учасників: 4
2026-05-18 09:19:54,484 | INFO     | 🛡 Сервер: Тест Сервер | ID: 1502786263068053585 | Учасників: 3
2026-05-18 09:36:54,934 | INFO     | 📢 Щоденний embed відправлено
2026-05-18 10:01:19,020 | WARNING  | 🛑 Запуск зупинено вручну.
