2025-09-15 12:39:22 | SUCCESS  | 📂 Кэш данных (stats и active_duels) успешно загружен
2025-09-15 12:39:23 | SUCCESS  | Загружен ID сообщения для ролей: 1416566500638330941
2025-09-15 12:39:23 | SUCCESS  | 🎉 Все модули успешно загружены!
2025-09-15 12:39:26 | SUCCESS  | 🤖 Бот `Void Sentinel#5662` успешно запущен (ID: 1230464176745480254)
2025-09-15 12:39:26 | INFO     | 🛡 Сервер: Legion Of The Damned | ID: 828749346505490503 | Участников: 10
2025-09-15 12:39:26 | INFO     | 🛡 Сервер: Space_Marine 2RU | ID: 1118852004786225192 | Участников: 292
2025-09-15 12:39:26 | INFO     | 🛡 Сервер: winie's server | ID: 1335265286198263848 | Участников: 56
2025-09-15 12:39:26 | INFO     | 🛡 Сервер: Сервер користувача kraken_5491 | ID: 1411475618343686187 | Участников: 4
2025-09-15 12:39:26 | INFO     | Используем существующее сообщение с ID 1416566500638330941
2025-09-15 12:39:26 | SUCCESS  | ✅ Slash-команды успешно синхронизированы
2025-09-15 12:39:26 | SUCCESS  | Статус бота успешно изменён
2025-09-15 12:39:26 | SUCCESS  | Сообщение верификации найдено, создание не требуется.
2025-09-15 12:39:56 | SUCCESS  | kraken_5491 отправил информацию о составе клана через вебхук
2025-09-15 12:40:26 | SUCCESS  | Команды успешно синхронизированы
2025-09-15 12:55:01 | WARNING  | 🛑 Запуск остановлен вручную.
